image,method,clip_limit,tile_size,psnr,ssim
10.png,GHE,,,15.7867,0.4191
10.png,CLAHE,1.0,4x4,7.2159,0.2666
10.png,CLAHE,1.0,8x8,7.1158,0.2542
10.png,CLAHE,1.0,16x16,7.0051,0.2395
10.png,CLAHE,2.0,4x4,7.8455,0.3389
10.png,CLAHE,2.0,8x8,7.6533,0.3196
10.png,CLAHE,2.0,16x16,7.4092,0.2928
10.png,CLAHE,3.0,4x4,8.4839,0.3948
10.png,CLAHE,3.0,8x8,8.1592,0.3677
10.png,CLAHE,3.0,16x16,7.812,0.3351
10.png,CLAHE,4.0,4x4,9.1381,0.4342
10.png,CLAHE,4.0,8x8,8.7028,0.4044
10.png,CLAHE,4.0,16x16,8.2303,0.3676
100.png,GHE,,,16.6991,0.4555
100.png,CLAHE,1.0,4x4,8.4202,0.2382
100.png,CLAHE,1.0,8x8,8.3158,0.232
100.png,CLAHE,1.0,16x16,8.2088,0.2224
100.png,CLAHE,2.0,4x4,9.1083,0.3202
100.png,CLAHE,2.0,8x8,8.9239,0.3134
100.png,CLAHE,2.0,16x16,8.6849,0.2979
100.png,CLAHE,3.0,4x4,9.7838,0.3958
100.png,CLAHE,3.0,8x8,9.4682,0.3828
100.png,CLAHE,3.0,16x16,9.1969,0.3683
100.png,CLAHE,4.0,4x4,10.434,0.4445
100.png,CLAHE,4.0,8x8,10.0183,0.4276
100.png,CLAHE,4.0,16x16,9.6541,0.4123
101.png,GHE,,,21.8236,0.6437
101.png,CLAHE,1.0,4x4,8.4889,0.2981
101.png,CLAHE,1.0,8x8,8.4201,0.2913
101.png,CLAHE,1.0,16x16,8.2547,0.2752
101.png,CLAHE,2.0,4x4,9.3348,0.3893
101.png,CLAHE,2.0,8x8,9.1008,0.3711
101.png,CLAHE,2.0,16x16,8.789,0.3482
101.png,CLAHE,3.0,4x4,10.1736,0.4621
101.png,CLAHE,3.0,8x8,9.6834,0.4288
101.png,CLAHE,3.0,16x16,9.2822,0.405
101.png,CLAHE,4.0,4x4,10.9894,0.5156
101.png,CLAHE,4.0,8x8,10.2747,0.4743
101.png,CLAHE,4.0,16x16,9.7358,0.447
102.png,GHE,,,10.9389,0.4323
102.png,CLAHE,1.0,4x4,15.8774,0.5869
102.png,CLAHE,1.0,8x8,15.6715,0.5779
102.png,CLAHE,1.0,16x16,15.2886,0.5518
102.png,CLAHE,2.0,4x4,17.8366,0.7114
102.png,CLAHE,2.0,8x8,17.167,0.692
102.png,CLAHE,2.0,16x16,16.4037,0.6636
102.png,CLAHE,3.0,4x4,19.9263,0.7714
102.png,CLAHE,3.0,8x8,18.4358,0.7446
102.png,CLAHE,3.0,16x16,17.4049,0.7207
102.png,CLAHE,4.0,4x4,21.8287,0.7878
102.png,CLAHE,4.0,8x8,19.5834,0.7601
102.png,CLAHE,4.0,16x16,18.3294,0.7379
